"Estación";"Paraje";"Municipio";"Tmed <br> (ºC)";"Tmax <br> (ºC)";"Tmin <br> (ºC)";"Tmaxabs <br> (ºC)";"Tminabs <br> (ºC)";"Hrmed <br> (%)";"Hrmax <br> (%)";"Hrmin <br> (%)";"Hrmaxabs <br> (%)";"Hrminabs <br> (%)";"Rviento <br> (Km/día)";"Prec <br> (mm)";"Radmed <br> (w/m2)";"Eto <br> (mm)";"Hsol <br> (horas)";"Precmax <br> (mm)";"Vvmed <br> (m/seg)";"Vvmax <br> (m/seg)";"Dvmed <br>  (º)";"Eti."
"AL31";"Lebor";"Totana";"26,70";"31,20";"21,50";"31,60";"21,10";"71,50";"92,40";"53,90";"95,30";"51,50";"127,20";"0,00";"247,90";"4,70";"11,00";"0,00";"1,50";"6,30";"71,20";"E"
"AL41";"La Calavera";"Alhama";"27,10";"32,70";"21,50";"33,50";"20,70";"64,10";"84,40";"40,30";"85,60";"37,80";"183,60";"0,00";"237,20";"5,30";"11,00";"0,00";"2,10";"8,20";"86,90";"E"
"AL52";"Los Palomos";"Librilla";"27,30";"32,90";"22,30";"33,20";"21,50";"69,50";"89,10";"45,90";"90,00";"44,70";"97,90";"0,00";"260,70";"4,90";"11,00";"0,00";"1,10";"6,80";"66,90";"NE"
"AL62";"Cañada Gallego";"Mazarrón";"26,80";"28,90";"24,50";"29,30";"24,30";"73,90";"83,30";"62,70";"84,00";"60,70";"115,50";"0,00";"259,10";"4,70";"12,00";"0,00";"1,30";"6,90";"119,20";"SE"
"CA12";"La Palma";"Cartagena";"27,90";"30,70";"25,40";"31,20";"25,10";"70,10";"81,80";"56,70";"82,20";"53,40";"129,40";"0,00";"254,80";"4,90";"11,00";"0,00";"1,50";"6,80";"50,40";"NE"
"CA21";"Corvera";"Murcia";"26,60";"30,50";"22,60";"31,10";"22,30";"74,00";"89,70";"54,80";"90,70";"53,00";"145,40";"0,00";"244,80";"4,70";"12,00";"0,00";"1,70";"6,10";"57,40";"NE"
"CA42";"Balsapintada";"Fuente Álamo";"27,40";"31,90";"22,30";"32,50";"22,00";"74,70";"97,80";"51,90";"99,60";"49,30";"74,90";"0,00";"240,00";"4,40";"11,00";"0,00";"0,90";"4,70";"58,40";"NE"
"CA52";"La Aljorra";"Cartagena";"27,80";"31,30";"24,60";"31,70";"24,30";"72,70";"86,50";"54,50";"86,80";"51,80";"198,80";"0,00";"249,10";"5,20";"11,00";"0,00";"2,30";"6,80";"38,10";"NE"
"CA73";"Los Belones";"Cartagena";"27,30";"29,70";"25,40";"30,90";"25,10";"78,30";"87,70";"66,60";"88,50";"59,90";"62,80";"0,00";"182,50";"3,40";"11,00";"0,00";"0,70";"4,40";"62,40";"NE"
"CA91";"Campillo De Abajo";"Fuente Álamo";"26,90";"31,50";"21,80";"32,20";"21,50";"69,20";"87,80";"47,00";"88,20";"44,60";"68,80";"0,00";"248,60";"4,40";"11,00";"0,00";"0,80";"5,10";"70,70";"E"
"CI22";"Estación De Blanca";"Blanca";"27,00";"32,00";"23,20";"32,60";"22,80";"65,70";"85,40";"42,70";"85,80";"40,90";"85,50";"0,00";"284,20";"5,10";"11,00";"0,00";"1,00";"5,40";"119,20";"SE"
"CI32";"Estación Ulea";"Ulea";"27,20";"31,40";"22,80";"31,90";"22,60";"71,80";"94,80";"49,60";"95,20";"47,50";"175,00";"0,00";"276,00";"5,30";"11,00";"0,00";"2,00";"7,10";"110,30";"E"
"CI42";"La Carrichosa";"Cieza";"27,00";"32,80";"21,60";"33,70";"21,20";"71,80";"96,00";"46,30";"96,60";"44,20";"122,50";"0,00";"272,80";"5,20";"11,00";"0,00";"1,40";"7,80";"132,50";"SE"
